id,created_at,attraction_id,travel_type_id,type_name
354,2024-11-03 17:24:19.652296+00,23029423,71-38378,Công Viên Giải Trí
355,2024-11-03 17:24:19.935646+00,23898595,71-38636,Đảo/Bán Đảo
356,2024-11-03 17:24:19.935646+00,23898595,71-38660,Tham quan ban đêm
357,2024-11-03 17:24:20.21577+00,10521723,71-38522,Bãi Biển
358,2024-11-03 17:24:20.494825+00,10523367,71-38371,Núi
359,2024-11-03 17:24:20.494825+00,10523367,71-38660,Tham quan ban đêm
360,2024-11-03 17:24:20.767106+00,36232888,71-38636,Đảo/Bán Đảo
361,2024-11-03 17:24:20.954866+00,56816156,71-38403,Cáp Treo
362,2024-11-03 17:24:20.954866+00,56816156,71-38514,Tour Trên Không
363,2024-11-03 17:24:21.217725+00,18832359,71-38378,Công Viên Giải Trí
364,2024-11-03 17:24:21.493472+00,25487733,71-38384,Sở Thú
365,2024-11-03 17:24:21.701656+00,10558858,71-38705,Công Trình Của Kiến Trúc Sư Nổi Tiếng
366,2024-11-03 17:24:21.701656+00,10558858,71-38629,Kiến Trúc Lịch Sử
367,2024-11-03 17:24:21.969308+00,94786,71-38711,Nhà hát
368,2024-11-03 17:24:22.243756+00,130898816,71-38706,Khu Dân Cư Nổi Bật
369,2024-11-03 17:24:22.243756+00,130898816,71-38660,Tham quan ban đêm
370,2024-11-03 17:24:22.43578+00,81458,71-38712,Eo Biển/Vịnh Hẹp
371,2024-11-03 17:24:22.43578+00,81458,71-38583,Di Sản Thế Giới UNESCO - Di Sản Thiên Nhiên
372,2024-11-03 17:24:22.630688+00,84669,71-38707,Thành Cổ/Cổ Trấn
373,2024-11-03 17:24:22.828822+00,78921,71-38369,Hồ
374,2024-11-03 17:24:22.828822+00,78921,71-38660,Tham quan ban đêm
375,2024-11-03 17:24:23.085622+00,23929096,71-38372,Suối Nước Nóng
376,2024-11-03 17:24:23.085622+00,23929096,71-38400,Khu Nghỉ Dưỡng
377,2024-11-03 17:24:23.280069+00,20905644,71-38630,Kiến Trúc Hiện Đại
378,2024-11-03 17:24:23.280069+00,20905644,71-38631,Đài Quan Sát
379,2024-11-03 17:24:23.280069+00,20905644,71-38660,Tham quan ban đêm
380,2024-11-03 17:24:23.482038+00,56812949,71-38705,Công Trình Của Kiến Trúc Sư Nổi Tiếng
381,2024-11-03 17:24:23.482038+00,56812949,71-38573,Cầu
382,2024-11-03 17:24:23.677358+00,78927,71-38629,Kiến Trúc Lịch Sử
383,2024-11-03 17:24:23.994901+00,10524194,71-38706,Khu Dân Cư Nổi Bật
384,2024-11-03 17:24:24.211988+00,90605,71-38391,Nhà Thờ & Thánh Đường
385,2024-11-03 17:24:24.211988+00,90605,71-38660,Tham quan ban đêm
386,2024-11-03 17:24:26.698774+00,98738,71-38711,Nhà hát
387,2024-11-03 17:24:26.975822+00,100572,71-38403,Cáp Treo
388,2024-11-03 17:24:27.158104+00,36272590,71-38712,Tour Bằng Xe Buýt
389,2024-11-03 17:24:27.158104+00,36272590,71-38660,Tham quan ban đêm
390,2024-11-03 17:24:27.340448+00,28575303,71-38391,Nhà Thờ & Thánh Đường
391,2024-11-03 17:24:27.623679+00,24447682,71-38388,Công Viên Chủ Đề
392,2024-11-03 17:24:27.623679+00,24447682,71-38660,Tham quan ban đêm
393,2024-11-03 17:24:27.801373+00,84900,71-38626,Đền Chùa
394,2024-11-03 17:24:27.994018+00,96728,71-38522,Bãi Biển
395,2024-11-03 17:24:28.172992+00,23895665,71-38706,Khu Dân Cư Nổi Bật
396,2024-11-03 17:24:28.34932+00,62082281,71-38386,Công Viên Nước
397,2024-11-03 17:24:28.34932+00,62082281,71-38388,Công Viên Chủ Đề
398,2024-11-03 17:24:28.546899+00,78967,71-38391,Nhà Thờ & Thánh Đường
399,2024-11-03 17:24:28.546899+00,78967,71-38660,Tham quan ban đêm
400,2024-11-03 17:24:28.743469+00,23899483,71-38522,Bãi Biển
401,2024-11-03 17:24:28.743469+00,23899483,71-38701,Lướt Sóng
402,2024-11-03 17:24:28.743469+00,23899483,71-38636,Đảo/Bán Đảo
403,2024-11-03 17:24:28.929213+00,95180,71-38522,Bãi Biển
404,2024-11-03 17:24:28.929213+00,95180,71-38523,Bờ Biển
405,2024-11-03 17:24:29.114914+00,10758692,71-38712,Đường Cổ
406,2024-11-03 17:24:29.114914+00,10758692,71-38575,Di Tích Lịch Sử
407,2024-11-03 17:24:29.303608+00,10758900,71-38711,Nhà hát
408,2024-11-03 17:24:29.48487+00,78926,71-38712,Địa Điểm Quân Sự
409,2024-11-03 17:24:29.48487+00,78926,71-38713,Bảo Tàng
410,2024-11-03 17:24:29.668488+00,102883,71-38552,Chợ
411,2024-11-03 17:24:29.852478+00,78974,71-38369,Hồ
412,2024-11-03 17:24:30.02621+00,80756,71-38528,Tòa Thị Chính
413,2024-11-03 17:24:30.02621+00,80756,71-38660,Tham quan ban đêm
414,2024-11-03 17:24:30.197668+00,95179,71-38391,Nhà Thờ & Thánh Đường
415,2024-11-03 17:24:30.376821+00,129757510,71-38631,Đài Quan Sát
416,2024-11-03 17:24:36.341179+00,23117248,71-38522,Bãi Biển
417,2024-11-03 17:24:36.341179+00,23117248,71-38636,Đảo/Bán Đảo
418,2024-11-03 17:24:36.543871+00,10521705,71-38706,Khu Dân Cư Nổi Bật
419,2024-11-03 17:24:36.722648+00,50714614,71-38710,Buổi biểu diễn đặc trưng
423,2024-11-03 17:25:31.686669+00,13595344,71-38712,Bảo Tàng Nghệ Thuật
424,2024-11-03 17:25:31.907866+00,10547161,71-38366,Sông
425,2024-11-03 17:25:31.907866+00,10547161,71-38660,Tham quan ban đêm
426,2024-11-03 17:25:32.152527+00,78968,71-38575,Di Tích Lịch Sử
427,2024-11-03 17:25:32.152527+00,78968,71-38633,Nghĩa Trang
428,2024-11-03 17:25:32.360402+00,136038155,71-38710,Buổi biểu diễn đặc trưng
429,2024-11-03 17:25:32.360402+00,136038155,71-38660,Tham quan ban đêm
430,2024-11-03 17:25:32.567436+00,78922,71-38575,Di Tích Lịch Sử
431,2024-11-03 17:25:32.567436+00,78922,71-38581,Đền Thờ/Miếu
432,2024-11-03 17:25:32.772883+00,130369464,71-38400,Khu Nghỉ Dưỡng
433,2024-11-03 17:25:32.772883+00,130369464,71-38535,Ruộng Bậc Thang
434,2024-11-03 17:25:32.993455+00,84885,71-38370,Thác Nước
435,2024-11-03 17:25:33.207576+00,15051334,71-38713,Bảo Tàng
436,2024-11-03 17:25:33.406993+00,96732,71-38391,Nhà Thờ & Thánh Đường
437,2024-11-03 17:25:33.602672+00,30066717,71-38522,Bãi Biển
438,2024-11-03 17:25:33.802445+00,30315955,71-38706,Khu Dân Cư Nổi Bật
439,2024-11-03 17:25:33.99596+00,33764024,71-38469,Tour Đi Thuyền
440,2024-11-03 17:25:34.202899+00,33530974,71-38363,Spa
441,2024-11-03 17:25:34.202899+00,33530974,71-38409,Nhà Tắm Công Cộng
442,2024-11-03 17:25:34.406346+00,30633416,71-38563,Quảng Trường
443,2024-11-03 17:25:34.406346+00,30633416,71-38660,Tham quan ban đêm
444,2024-11-03 17:25:41.756362+00,23033832,71-38573,Cầu
445,2024-11-03 17:25:41.756362+00,23033832,71-38660,Tham quan ban đêm
446,2024-11-03 17:25:42.05242+00,50961574,71-38378,Công Viên Giải Trí
447,2024-11-03 17:25:42.249331+00,32862148,71-38386,Công Viên Nước
448,2024-11-03 17:25:42.249331+00,32862148,71-38388,Công Viên Chủ Đề
449,2024-11-03 17:25:42.249331+00,32862148,71-38660,Tham quan ban đêm
450,2024-11-03 17:25:42.445844+00,84916,71-38630,Kiến Trúc Hiện Đại
451,2024-11-03 17:25:42.724211+00,80754,71-38626,Đền Chùa
452,2024-11-03 17:25:42.908918+00,13592033,71-38366,Sông
453,2024-11-03 17:25:43.1003+00,80751,71-38404,Đầm Phá
454,2024-11-03 17:25:43.1003+00,80751,71-38636,Đảo/Bán Đảo
455,2024-11-03 17:25:43.295768+00,134049310,71-38711,Nhà hát
456,2024-11-03 17:25:43.490184+00,15031519,71-38626,Đền Chùa
457,2024-11-03 17:25:43.774661+00,20905673,71-38706,Khu Dân Cư Nổi Bật
458,2024-11-03 17:25:43.987551+00,55808097,71-38522,Bãi Biển
459,2024-11-03 17:25:44.179978+00,95591,71-38366,Sông
460,2024-11-03 17:25:44.179978+00,95591,71-38373,Kỳ Quan Địa Chất/Địa Mạo
461,2024-11-03 17:25:44.387469+00,96726,71-38371,Núi
462,2024-11-03 17:25:44.586051+00,98754,71-38712,Sa Mạc
463,2024-11-03 17:25:44.773247+00,81459,71-38575,Di Tích Lịch Sử
464,2024-11-03 17:25:44.773247+00,81459,71-38583,Di Sản Thế Giới UNESCO - Di Sản Văn Hóa
465,2024-11-03 17:25:44.97082+00,23029651,71-38403,Cáp Treo
466,2024-11-03 17:25:45.16841+00,129757640,71-38706,Khu Dân Cư Nổi Bật
467,2024-11-03 17:25:45.371115+00,129757553,71-38631,Đài Quan Sát
468,2024-11-03 17:25:45.557157+00,13758747,71-38626,Đền Chùa
469,2024-11-03 17:25:45.749515+00,143159394,71-38469,Tour Đi Thuyền
470,2024-11-03 17:25:48.228896+00,78970,71-38707,Thành Cổ/Cổ Trấn
