id,created_at,name,ename,cover,images,video,hot_score,price,rank_info,latitude,longtitude,address,location_id,open_time_rule,description,phone,avg_rating,rating_count
78920,2024-11-02 18:11:23.021721+00,Quảng trường Ba Đình,Ba Dinh Square,https://ak-d.tripcdn.com/images/10011f000001h395wFCBC.jpg,"[""https://ak-d.tripcdn.com/images/10011f000001h395wFCBC.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100e0700000028iw501B0.jpg?proc=source%2ftrip""]",[],4.7,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/hanoi-100000003721/?businessId=78920"",""description"":""Xếp hạng 13 trong danh sách Trải nghiệm nổi bật của Hà Nội""}",21.03675,105.835414,"Hùng Vương, Điện Biên, Ba Đình, Hà Nội 11812, Việt Nam",181,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""5:00-22:00""}],""isActivityCurrentTime"":true}]","Quảng trường Ba Đình, quảng trường lịch sử tại Hà Nội, nơi tổ chức các sự kiện quốc gia quan trọng.",+84-24-38455128,4.4,310
78921,2024-11-02 17:51:14.749705+00,Hồ Hoàn Kiếm,Hoan Kiem Lake,https://ak-d.tripcdn.com/images/0105q12000etgnixc91A8.jpg,"[""https://ak-d.tripcdn.com/images/0105q12000etgnixc91A8.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100a1f000001grlmcB77C.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100t0700000028iwv4C4A.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100w0700000028j30F92D.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100o0700000028j9t3C68.jpg?proc=source%2ftrip""]",[],6.4,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/hanoi-100000003721/?businessId=78921"",""description"":""Xếp hạng 1 trong danh sách Trải nghiệm nổi bật của Hà Nội""}",21.028667,105.852148,"Hàng Trống, Hoàn Kiếm, Hà Nội, Việt Nam",181,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""Mở cửa suốt ngày""}],""isActivityCurrentTime"":true}]","Hồ Hoàn Kiếm, hồ nước nổi tiếng tại Hà Nội, nơi có cầu Thê Húc và đền Ngọc Sơn, biểu tượng của thủ đô.",,4.5,954
78922,2024-11-02 17:54:34.535949+00,Văn Miếu – Quốc Tử Giám,Temple Of Literature,https://ak-d.tripcdn.com/images/0106t120008ibntmgC733.jpg,"[""https://ak-d.tripcdn.com/images/0106t120008ibntmgC733.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0105i120008ibq819A8BC.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0104i120008iboj485BCD.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0104w120008ibnz8rDC36.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0101b120008ibrvv1128C.jpg?proc=source%2ftrip""]",[],5.3,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/hanoi-100000003721/?businessId=78922"",""description"":""Xếp hạng 8 trong danh sách Trải nghiệm nổi bật của Hà Nội""}",21.028118,105.835669,"58 P. Quốc Tử Giám, Văn Miếu, Đống Đa, Hà Nội, Việt Nam",181,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""8:00-17:00""}],""isActivityCurrentTime"":true}]","Văn Miếu – Quốc Tử Giám, di tích lịch sử tại Hà Nội, là nơi lưu giữ di sản văn hóa, tri thức và giáo dục của Việt Nam.",+84 24 3845 2917,4.5,291
78923,2024-11-03 05:46:58.367266+00,Bảo tàng Mỹ thuật Việt Nam,Vietnam National Fine Arts Museum,https://ak-d.tripcdn.com/images/10070l000000dgjis88C9.jpg,"[""https://ak-d.tripcdn.com/images/10070l000000dgjis88C9.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0106s12000b6zd53w60DE.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0103f12000b6zda6c2F35.jpg?proc=source%2ftrip""]",[],3.6,,,21.030784,105.837084,"66 P. Nguyễn Thái Học, Điện Biên, Ba Đình, Hà Nội, Việt Nam",181,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""8:30-17:00""}],""isActivityCurrentTime"":true}]","Bảo tàng Mỹ thuật Việt Nam là một bảo tàng tại Hà Nội, lưu giữ và trưng bày các tác phẩm nghệ thuật truyền thống và đương đại của Việt Nam.",+84 24 3823 3084,4.4,110
78926,2024-11-02 17:53:55.20781+00,Bảo tàng Chứng tích Chiến tranh,War Remnants Museum,https://ak-d.tripcdn.com/images/100w0a0000004uqbu7165.jpg,"[""https://ak-d.tripcdn.com/images/100w0a0000004uqbu7165.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww5212000ar6mcygA18E.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww3912000ar6mhca9EB9.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0102p1200081diwxw5786.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww6h12000ar6mh9n0EC3.jpg?proc=source%2ftrip""]",[],5.6,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/ho-chi-minh-city-100000001006/?businessId=78926"",""description"":""Xếp hạng 10 trong danh sách Trải nghiệm nổi bật của TP. Hồ Chí Minh""}",10.779511,106.692092,"Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",434,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""7:30-17:30""}],""isActivityCurrentTime"":true}]","Bảo tàng Chứng tích Chiến tranh tại TP.HCM là nơi trưng bày các hiện vật và hình ảnh về cuộc chiến tranh Việt Nam, giúp du khách hiểu thêm về những đau thương và hy sinh của dân tộc.",+84-822030682,4.4,338
78927,2024-11-02 17:51:17.901943+00,Dinh Độc Lập,Reunification Palace,https://ak-d.tripcdn.com/images/0104y12000etgt3er2B60.jpg,"[""https://ak-d.tripcdn.com/images/0104y12000etgt3er2B60.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0102g12000etgu17jAAD1.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0106912000etgsgseD1E2.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100j0500000011nct021A.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100n10000000p07de008F.jpg?proc=source%2ftrip""]",[],6.3,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/ho-chi-minh-city-100000001006/?businessId=78927"",""description"":""Xếp hạng 4 trong danh sách Trải nghiệm nổi bật của TP. Hồ Chí Minh""}",10.776994,106.695302,"135 Đ. Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",434,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""08:00-15:30""}],""isActivityCurrentTime"":true}]","Dinh Độc Lập tại TP.HCM là một công trình lịch sử, nơi chứng kiến nhiều sự kiện quan trọng trong lịch sử Việt Nam. Du khách có thể tham quan các phòng ốc trong dinh thự và tìm hiểu về lịch sử đất nước qua các hiện vật và triển lãm.",+84-28-38223652,4.3,465
78928,2024-11-03 06:58:06.130258+00,Chợ Lớn,Cholon,https://ak-d.tripcdn.com/images/100g0z000000njb15D003.jpg,"[""https://ak-d.tripcdn.com/images/100g0z000000njb15D003.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100i0l000000cs8i4C473.jpg?proc=source%2ftrip""]",[],3.2,,,10.754497,106.658341,"phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",434,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""description"":""Mở cửa suốt ngày""}],""isActivityCurrentTime"":true}]","Chợ Lớn là khu chợ nổi tiếng của Sài Gòn, nơi bán đa dạng các mặt hàng từ thực phẩm đến quần áo.",,4.1,78
78967,2024-11-02 17:53:51.371264+00,Nhà thờ Đức Bà Sài Gòn,Notre Dame Cathedral of Saigon,https://ak-d.tripcdn.com/images/100f0z000000ngfjhF107.jpg,"[""https://ak-d.tripcdn.com/images/100f0z000000ngfjhF107.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/10050s000000hkl2y7432.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/10090y000000m11gb4BB8.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100r0u000000j4cc026DD.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100o10000000ozz8i63A7.jpg?proc=source%2ftrip""]",[],5.7,,,10.779786,106.699019,"01 Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",434,,"Nhà thờ Đức Bà Sài Gòn, công trình kiến trúc Gothic nổi tiếng tại trung tâm Thành phố Hồ Chí Minh.",+84 914 122 229,4.4,887
78968,2024-11-02 17:54:30.611933+00,Lăng Chủ tịch Hồ Chí Minh,Ho Chi Minh's Mausoleum,https://ak-d.tripcdn.com/images/100q0700000028ixuBCED.jpg,"[""https://ak-d.tripcdn.com/images/100q0700000028ixuBCED.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0100u120008hpiqtn0833.jpg?proc=source%2ftrip""]",[],5.3,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/hanoi-100000003721/?businessId=78968"",""description"":""Xếp hạng 7 trong danh sách Trải nghiệm nổi bật của Hà Nội""}",21.036897,105.834667,"Hùng Vương, Điện Biên, Ba Đình, Hà Nội, Việt Nam",181,"[{""dateDesc"":""1 thg 11, 2024-31 thg 3, 2025"",""ruleType"":1,""currentMark"":""Tải về"",""dateRangeList"":[{""end"":""2024/3/31"",""start"":""2024/11/1""}],""openTimeRuleInfoType"":[{""timeDesc"":""Th 3-Th 5"",""description"":""08:00-11:00""},{""timeDesc"":""Th 7-CN"",""description"":""08:00-11:30""}],""isActivityCurrentTime"":true},{""dateDesc"":""1 thg 4-31 thg 10"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/10/31"",""start"":""2024/4/1""}],""openTimeRuleInfoType"":[{""timeDesc"":""Th 3-Th 5"",""description"":""07:30-10:30""},{""timeDesc"":""Th 7-CN"",""description"":""07:30-11:00""}],""isActivityCurrentTime"":false}]","Lăng Chủ tịch Hồ Chí Minh, lăng mộ của Chủ tịch Hồ Chí Minh, biểu tượng của sự tôn kính và lòng biết ơn đối với Người.",+84 24 3845 5128,4.5,295
78969,2024-11-02 18:11:29.779848+00,Nhà sàn Bác Hồ,Ho Chi Minh’s Stilt House,https://ak-d.tripcdn.com/images/10020l000000d0dyl8D43.jpg,"[""https://ak-d.tripcdn.com/images/10020l000000d0dyl8D43.jpg?proc=source%2ftrip""]",[],4.5,,"{""jumpUrl"":""https://vn.trip.com/toplist/tripbest/hanoi-100000003721/?businessId=78969"",""description"":""Xếp hạng 15 trong danh sách Trải nghiệm nổi bật của Hà Nội""}",21.038171,105.833161,"1 P. Ngọc Hà, Đội Cấn, Ba Đình, Hà Nội, Việt Nam",181,"[{""dateDesc"":""Quanh năm"",""ruleType"":1,""dateRangeList"":[{""end"":""2024/12/31"",""start"":""2024/1/1""}],""openTimeRuleInfoType"":[{""timeDesc"":""Th 3-CN"",""description"":""07:30-11:00;13:30-16:00""},{""timeDesc"":""Th 2"",""description"":""07:30-11:00""}],""isActivityCurrentTime"":true}]","Nhà sàn Bác Hồ, di tích lịch sử tại Hà Nội, là nơi Bác Hồ từng sống và làm việc trong những năm cuối đời.",+84 80 44287,4.6,201
