id,created_at,name,images,ename,cover,latitude,longitude,parent_id
180,2024-11-01 09:22:05.852616+00,Hải Phòng,"[""https://ak-d.tripcdn.com/images/0102p120008i5argiC331_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww0z12000aumf5jx46E0_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww1612000cncymv67AB3_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0101r12000aji9tt04EFE_D_1180_558.jpg?proc=source%2ftrip""]",Haiphong,https://ak-d.tripcdn.com/images/0106v120008izr5fd0E2D.jpg,20.86136,106.6798,
181,2024-11-01 09:22:05.852616+00,Hà Nội,"[""https://ak-d.tripcdn.com/images/100a1f000001grlmcB77C_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/1A0p1b000001a0p5q08EF_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100r0l000000crwc9F7C3_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0100312000g25wgeo268A_D_1180_558.jpg?proc=source%2ftrip""]",Hanoi,https://ak-d.tripcdn.com/images/0100l12000adm7it2A2A7.jpg,21.030735,105.8524,
218,2024-11-01 09:22:05.852616+00,Vịnh Hạ Long,[],Ha Long Bay,https://ak-d.tripcdn.com/images/01002120008x0rf769778.jpg,20.971197,107.04481,
434,2024-11-01 09:22:05.852616+00,TP. Hồ Chí Minh,"[""https://ak-d.tripcdn.com/images/100e0z000000mrf6b7DB8_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100t0q000000gbh5yF979_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0101n120009pr6y6oC159_D_1180_558.png?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0102g12000etgu17jAAD1_D_1180_558.jpg?proc=source%2ftrip""]",Ho Chi Minh City,https://ak-d.tripcdn.com/images/100v0x000000lra8w0D50.jpg,10.779791,106.69682,
667,2024-11-01 09:22:05.852616+00,Huế,"[""https://ak-d.tripcdn.com/images/100k1c000001deufpE5B7_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww1j12000de6rslwF231_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/fd/tg/g1/M09/13/E9/CghzflSs1wKAUel8AAOVDUa3pzI161_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0105y120008jo960jD583_D_1180_558.jpg?proc=source%2ftrip""]",Hue,https://ak-d.tripcdn.com/images/0104i120008x16443A336.jpg,16.46346,107.5847,3170
668,2024-11-01 09:22:05.852616+00,Hội An,"[""https://ak-d.tripcdn.com/images/100i0x000000lf46pEB79_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww1h120009c4cmb34276_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0101u120009ny85fu071B_D_1180_558.png?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/10020z000000ngod80B27_D_1180_558.jpg?proc=source%2ftrip""]",Hoi An,https://ak-d.tripcdn.com/images/010241200086v4wgtA798.jpg,15.880058,108.33804,3171
669,2024-11-01 09:22:05.852616+00,Đà Nẵng,"[""https://ak-d.tripcdn.com/images/0102w120009lobm9b078E_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100i0x000000lf46pEB79_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/1lo6n12000cn4b1owB181_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0101e120009nyw6tl5534_D_1180_558.png?proc=source%2ftrip""]",Da Nang,https://ak-d.tripcdn.com/images/100o0n000000e08cv00E8.jpg,16.05157,108.2149,
670,2024-11-01 09:22:05.852616+00,Nha Trang,"[""https://ak-d.tripcdn.com/images/100o0e000000700et1D7C_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100h10000000ou01v7169_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100k0700000028no18700_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/1lo1i12000evua57vA3DC_D_1180_558.jpg?proc=source%2ftrip""]",Nha Trang,https://ak-d.tripcdn.com/images/100s0y000000mc3qf0838.jpg,12.238791,109.19675,24723
1218,2024-11-01 09:25:35.852438+00,Phan Thiết,"[""https://ak-d.tripcdn.com/images/fd/tg/g4/M08/64/87/CggYHlZv6BWAUdtgABuh6zBZygs841_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/fd/tg/g4/M06/69/8E/CggYHVZv6HeAHHYWACOG9CVitIk222_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/10010z000000nwu0bCAED_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/100g0q000000g9vuk2064_D_1180_558.jpg?proc=source%2ftrip""]",Phan Thiet,https://ak-d.tripcdn.com/images/100f1f000001gqav73ACA.jpg,10.98046,108.261475,3168
1389,2024-11-01 09:22:05.852616+00,Vũng Tàu,"[""https://ak-d.tripcdn.com/images/10090s000000ibkdbAD50_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww2k12000cjh84rv5F71_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/0ww4l12000cnb5yt06FA6_D_1180_558.jpg?proc=source%2ftrip"",""https://ak-d.tripcdn.com/images/1lo5i12000cogrkf9E3E2_D_1180_558.jpg?proc=source%2ftrip""]",Vung Tau,https://ak-d.tripcdn.com/images/100u0s000000i94vpF53E.jpg,10.41138,107.13622,3172
